Processor,Display,Video graphics,Hard drive,Storage,RAM,Display Resolution,Screen size,Screen Height,Screen Width,Display Refresh Rate,CPU,GPU,Weight,Price
Intel® Core™ i5-13420H,"15.6″ FHD (1920 × 1080), IPS, 144 Hz, 9 ms, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,13420,3050,2.0,33999.0
Intel® Core™ i5-13420H,"15.6″ FHD (1920×1080), IPS, 144 Hz, 250 nits, 45% NTSC, anti-glare",NVIDIA® GeForce RTX™ 3050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,15.6,1080,1920,144,13420,3050,2.0,33999.0
Intel® Core™ Ultra 9 285H,"16"" diagonal WQXGA display",NVIDIA® GeForce RTX™ 5070,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,2560 x 1600,16.0,1600,2560,240,8290,5070,2.0,106999.0
AMD Ryzen™ AI 9 365,"16"" diagonal, WQXGA , 60-240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 500 nits, 100% sRGB",NVIDIA® GeForce RTX™ 5070,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,32,2560 x 1600,16.0,1600,2560,240,8290,5070,2.0,104999.0
Intel® Core i9-14900HX,"15.1"" WQXGA OLED 1000nits (peak) / 500nits (typical) glossy, 100% DCI-P3, 165Hz, Dolby Vision®, DisplayHDR™ True Black 600",NVIDIA® GeForce RTX™ 5070,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2242,1,2560x1600,15.1,1600,2560,165,14900,5070,1.0,107999.0
AMD Ryzen™ AI 7 350,"16-inch 2.5K , WQXGA) 16:10 aspect ratio",NVIDIA® GeForce RTX™ 5070 Laptop GPU,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,32,2560 x 1600,16.0,1600,2560,240,8290,5070,1.0,105200.0
Intel® Core Ultra 9 275HX,"16"" WQXGA OLED 500nits (Typical) / 1100nits (Peak) Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free",NVIDIA® GeForce RTX™ 5080,2x 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2280,2,2560x1600,16.0,1600,2560,240,8290,5080,2.0,205000.0
Intel® Core™ i7-14700HX,"16.1″ diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",NVIDIA® GeForce RTX™ 4050,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,14700,4050,2.0,53999.0
AMD Ryzen™ 9 8940HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync",NVIDIA® GeForce RTX™ 5070 Ti,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,8940,5070,2.0,109300.0
AMD Ryzen 9 9955HX,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) 165Hz, 3ms IPS-level 300nits 100% SRGB",NVIDIA® GeForce RTX™ 5070,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,9955,5070,2.0,102000.0
AMD Ryzen™ 7 260,"16-inch, FHD+ 16:10 , WUXGA), IPS-level, Anti-glare display, sRGB:100%, Adobe:75.35%, Refresh Rate:165Hz, Response Time:3ms, G-Sync, MUX Switch",NVIDIA® GeForce RTX™ 5050,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,16,1920 x 1200,16.0,1200,1920,165,8290,5050,2.0,56199.0
AMD Ryzen™ AI 7 350,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display",NVIDIA® GeForce RTX™ 5050,1TB PCIe® 4.0 NVMe™ M.2 SSD,512,16,2560 x 1600,14.0,1600,2560,165,8290,5050,1.0,66999.0
AMD Ryzen 7 8845HS,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display, sRGB:100.00%, Refresh Rate:165Hz, G-Sync, MUX Switch + NVIDIA® Advanced Optimus",NVIDIA® GeForce RTX™ 4050 6GB,512GB PCIe® 4.0 NVMe™ M.2 SSD,512,16,2560 x 1600,14.0,1600,2560,165,8845,4050,1.0,48888.0
Intel Core Ultra 9 275HX,"18” QHD+ (2560x1600), 240Hz, IPS-Level",Nvidia GeForce RTX 5070 8GB,1TB SSD,512,32,2560x1600,18.0,1600,2560,240,8290,5070,3.0,94999.0
Intel Core Ultra 9 275HX,"17” QHD+ (2560x1600), 240Hz, IPS-Level",NVIDIA® GeForce RTX™ 5090 24GB,1TB SSD,512,32,2560x1600,17.0,1600,2560,240,8290,5090,3.0,228337.0
Intel Core Ultra 9 285HX,"18” UHD+, MiniLED, 120Hz",Nvidia GeForce RTX 5090 24GB,2TB NVMe PCIe Gen5x4 SSD,512,64,3840 x 2400,18.0,2400,3840,120,8290,5090,3.0,249999.0
Intel Core i5-1235U,"15.6-inch Full HD (1920×1080) IPS, ComfyView (Matte), 16:9 aspect ratio",Nvidia GeForce RTX 2050 4GB,512GB PCIe NVMe SSD,512,8,1920x1080,15.6,1080,1920,144,1235,2050,1.0,26699.0
Intel Core i5-13500H,"39.6 cm (15.6"") diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Nvidia GeForce RTX 3050 6GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,8,1920 x 1080,39.6,1080,1920,144,13500,3050,2.0,34999.0
Intel Core 7 240H,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",Nvidia GeForce RTX 4050 6GB,512GB M.2 SSD NVMe PCIe Gen4,512,16,1920 x 1080,15.6,1080,1920,144,8290,4050,1.0,41999.0
Intel® Core™ i7-14650HX,"15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical",NVIDIA® GeForce RTX™ 5060 Laptop GPU,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,512,5,2560*1440,15.6,1440,2560,144,14650,5060,2.0,61999.0
Intel® Core™ i9-14900HX,"15.6"" QHD, 165Hz DCI-P3 100% typical",NVIDIA® GeForce RTX™ 5060,1TB NVMe PCIe SSD Gen4x4,512,16,2560*1440,15.6,1440,2560,165,14900,5060,2.0,69999.0
AMD Ryzen™ 7 7435HS,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,12,1920x1080,15.6,1080,1920,144,7435,4050,2.0,39999.0
Intel® Core™ i7-13700H,"16.1"" diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",NVIDIA® GeForce RTX™ 3050,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,13700,3050,2.0,42999.0
AMD Ryzen 7 7435HS,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",Nvidia GeForce RTX 4060 8GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,7435,4060,2.0,47777.0
Intel Core I5-13450HX,"15.6"" FHD (1920x1080) 120Hz",Nvidia GeForce RTX 3050 6GB,"512GB, M.2, PCIe NVMe, SSD",512,16,1920 x 1080,15.6,1080,1920,120,13450,3050,2.0,37777.0
